行号   | left.txt                                           | 行号   | right.txt                                          | 状态  
----------------------------------------------------------------------------------------------------------------------------------
     1 | SimpleTextCompare 测试文本 A                       |      1 | SimpleTextCompare 测试文本 A                       | Equal 
     2 | 本文件用于验证长文本分页、左右对照、整行差异和行内 |      2 | 本文件用于验证长文本分页、左右对照、整行差异和行内 | Equal 
     / | 字符差异。                                         |      / | 字符差异。                                         |       
     3 |                                                    |      3 |                                                    | Equal 
     4 | [basic]                                            |      4 | [basic]                                            | Equal 
     5 | name = SimpleTextCompare                           |      5 | name = SimpleTextCompare                           | Equal 
     6 | [31mversion = 1.0.0[0m                                    |      / | [31m-[0m                                                  | Delete
     / | [32m-[0m                                                  |      6 | [32mversion = 1.1.0[0m                                    | Insert
     7 | environment = development                          |      7 | environment = development                          | Equal 
     8 | owner = Cong Shu                                   |      8 | owner = Cong Shu                                   | Equal 
     9 | active = true                                      |      9 | active = true                                      | Equal 
    10 | created_at = 2026-01-01 09:00:00                   |     10 | created_at = 2026-01-01 09:00:00                   | Equal 
    11 | [31mupdated_at = 2026-09-17 08:30:00[0m                   |      / | [31m-[0m                                                  | Delete
     / | [32m-[0m                                                  |     11 | [32mupdated_at = 2026-09-17 09:45:00[0m                   | Insert
     / | [32m-[0m                                                  |     12 | [32maxxxxxxxxxxxx[0m                                      | Insert
    12 |                                                    |     13 |                                                    | Equal 
    13 | [terminal]                                         |     14 | [terminal]                                         | Equal 
    14 | [31mtheme = light[0m                                      |      / | [31m-[0m                                                  | Delete
     / | [32m-[0m                                                  |     15 | [32mtheme = dark[0m                                       | Insert
    15 | prompt = stc>                                      |     16 | prompt = stc>                                      | Equal 
    16 | show_time = true                                   |     17 | show_time = true                                   | Equal 
    17 | color_enabled = true                               |     18 | color_enabled = true                               | Equal 
    18 | [31mwidth = 100[0m                                        |      / | [31m-[0m                                                  | Delete
     / | [32m-[0m                                                  |     19 | [32mwidth = 120[0m                                        | Insert
    19 | height = 40                                        |     20 | height = 40                                        | Equal 
    20 | unicode = enabled                                  |     21 | unicode = enabled                                  | Equal 
    21 | fallback_encoding = utf-8                          |     22 | fallback_encoding = utf-8                          | Equal 
    22 |                                                    |     23 |                                                    | Equal 
    23 | [compare]                                          |     24 | [compare]                                          | Equal 
    24 | algorithm = myers                                  |     25 | algorithm = myers                                  | Equal 
    25 | ignore_whitespace = false                          |     26 | ignore_whitespace = false                          | Equal 
    26 | [31mignore_case = false[0m                                |      / | [31m-[0m                                                  | Delete
     / | [32m-[0m                                                  |     27 | [32mignore_case = true[0m                                 | Insert
    27 | context_lines = 3                                  |     28 | context_lines = 3                                  | Equal 
    28 | word_level = true                                  |     29 | word_level = true                                  | Equal 
    29 | [31mmax_file_size = 10MB[0m                               |      / | [31m-[0m                                                  | Delete
     / | [32m-[0m                                                  |     30 | [32mmax_file_size = 20MB[0m                               | Insert
    30 | encoding = utf-8                                   |     31 | encoding = utf-8                                   | Equal 
    31 | [31mtrim_trailing_spaces = false[0m                       |      / | [31m-[0m                                                  | Delete
     / | [32m-[0m                                                  |     32 | [32mtrim_trailing_spaces = true[0m                        | Insert
    32 |                                                    |     33 |                                                    | Equal 
    33 | [output]                                           |     34 | [output]                                           | Equal 
    34 | pager = less                                       |     35 | pager = less                                       | Equal 
     / | [32m-[0m                                                  |     36 | [32mpager_path = C:\ProgramData\chocolatey\bin\less.ex[0m | Insert
     / | [32m-[0m                                                  |      / | [32me[0m                                                  |       
    35 | pager_args = -FRSX                                 |     37 | pager_args = -FRSX                                 | Equal 
    36 | preserve_color = true                              |     38 | preserve_color = true                              | Equal 
    37 | line_numbers = true                                |     39 | line_numbers = true                                | Equal 
    38 | separator = |                                      |     40 | separator = |                                      | Equal 
    39 | align = left                                       |     41 | align = left                                       | Equal 
    40 | show_file_names = true                             |     42 | show_file_names = true                             | Equal 
    41 |                                                    |     43 |                                                    | Equal 
    42 | [network]                                          |     44 | [network]                                          | Equal 
    43 | host = api.example.com                             |     45 | host = api.example.com                             | Equal 
    44 | port = 8080                                        |     46 | port = 8080                                        | Equal 
    45 | [31mprotocol = http[0m                                    |      / | [31m-[0m                                                  | Delete
     / | [32m-[0m                                                  |     47 | [32mtransport = https[0m                                  | Insert
    46 | connect_timeout = 10                               |     48 | connect_timeout = 10                               | Equal 
